Altium Designer Pick and Place Locations
C:\Users\akokumai\Desktop\Repositorio\Projetos\CNX\9990-36033 - ADAP_PROCESSADORA_CB71C\TRUNK\Entregas/\PKP_9990-36033-903.txt

========================================================================================================================
File Design Information:

Date:       30/06/22
Time:       10:32
Revision:   37285
Variant:    No variations
Units used: mm

Designator Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation 
R129       TopLayer    0603                  35.4990      21.6530      90       
R128       TopLayer    0603                  34.6740      20.8280      180      
R53        TopLayer    0603                  55.6890      21.6530      90       
R52        TopLayer    0603                  54.8640      20.8280      180      
SW2        TopLayer    NCE_CHS-01A1          78.2950      74.2950      270      
C33        TopLayer    0805                  12.4460      76.3270      270      
R127       BottomLayer 0603                  67.4370      51.6890      90       
R126       BottomLayer 0603                  67.4370      47.3710      270      
R125       BottomLayer 0603                  24.3840      34.7980      270      
C188       BottomLayer 0603                  79.2480      61.5950      90       
C187       BottomLayer 0603                  71.7550      66.9290      90       
U31        BottomLayer TI_SOT23              64.7700      49.5300      90       
R124       BottomLayer 0603                  64.8970      46.6090      360      
R123       BottomLayer 0603                  64.5160      53.3400      90       
C186       BottomLayer 0603                  62.1030      50.0380      90       
L8         TopLayer    TDK_ACM2012           18.6500      13.4980      270      
X3         TopLayer    MU_CSTCE12M0G15L99-R0 45.4660      40.1320      180      
U38        TopLayer    MI_MCP220-I/SS        45.4660      31.8770      270      
R122       TopLayer    0603                  20.1930      17.2720      270      
R121       TopLayer    0603                  21.7170      17.2720      270      
R120       TopLayer    0603                  51.8160      34.1630      360      
L7         TopLayer    TDK_ACM2012           20.9550      13.4620      270      
CN14       TopLayer    MO_500075-1517        20.8280      8.6896       180      
C185       TopLayer    0603                  51.8160      32.3850      180      
C184       BottomLayer 0603                  47.3710      28.0670      180      
C183       BottomLayer 0603                  20.9550      12.9540      360      
C182       TopLayer    0603                  51.8160      35.9410      180      
X2         BottomLayer AB_ABM3               42.5286      54.3052      360      
U37        TopLayer    TI_LP3878SD           18.4360      50.6030      360      
U36        TopLayer    LT_LTC2903-D1         40.3200      22.6510      90       
U35        TopLayer    UDC20_18_AA           31.8800      16.6100      0        
U34        TopLayer    MU_NTE0505MC          92.0750      60.5790      360      
U33        TopLayer    UDC20_18_AA           52.0700      16.6100      0        
U32        TopLayer    TI_TPD7S019           113.4110     79.6290      0        
R119       TopLayer    0603                  25.3240      51.0410      90       
R118       BottomLayer 0603                  23.1140      52.5780      360      
